Frame, # Keypoints, # Matches, TTC-Lidar, TTC-Camera, TTC-Difference
1,1759,1534,12.972159,13.901922,0.929763
2,1820,1564,12.264038,16.939559,4.675521
3,1850,1621,16.963042,9.989699,6.973343
4,1828,1652,13.12542,12.713836,0.411585
5,1806,1621,12.595109,13.551874,0.956765
6,1877,1582,7.660608,13.673261,6.012653
7,1894,1609,29.069206,15.832788,13.236417
8,1889,1622,17.476654,12.559869,4.916785
9,1917,1621,15.889385,11.721934,4.167451
10,1874,1654,13.729655,13.203019,0.526636
11,1912,1608,10.491403,11.40786,0.916458
12,1930,1657,10.099996,11.210174,1.110178
13,1881,1654,9.223069,11.657523,2.434454
14,1886,1634,10.967763,12.461615,1.493851
15,1957,1640,8.094218,12.218521,4.124302
16,1888,1707,9.165821,10.550699,1.384877
17,1919,1646,9.851404,9.949088,0.097683
18,2057,1683,8.309779,7.92385,0.385929
,,,,,1.649450901